City_ID,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
478,478,Valdivia,-39.8142,-73.2459,75.2,41,0,6.91,CL,2021-02-20 21:45:27
479,479,Segou,13.4317,-6.2157,83.26,15,2,8.28,ML,2021-02-20 21:49:15
480,480,Buenaventura,3.8801,-77.0312,81.93,72,6,5.73,CO,2021-02-20 21:49:15
490,490,Presidente Medici,-11.1753,-61.9014,76.21,92,100,4.36,BR,2021-02-20 21:49:16
493,493,Limbang,4.75,115.0,78.8,83,75,3.44,MY,2021-02-20 21:49:17
498,498,Rio Grande,-32.035,-52.0986,75.0,81,5,9.48,BR,2021-02-20 21:46:08
499,499,Lejanias,3.5251,-74.0216,81.25,50,56,4.36,CO,2021-02-20 21:49:18
502,502,Port-Gentil,-0.7193,8.7815,80.6,89,20,2.3,GA,2021-02-20 21:46:04
505,505,San Andres,12.5847,-81.7006,84.2,65,20,13.8,CO,2021-02-20 21:49:19
509,509,Clarence Town,-32.5833,151.7833,75.2,83,75,10.36,AU,2021-02-20 21:49:20
514,514,Pauini,-7.7136,-66.9764,78.28,91,78,1.25,BR,2021-02-20 21:49:21
519,519,Richards Bay,-28.783,32.0377,75.94,86,100,18.57,ZA,2021-02-20 21:44:36
523,523,Bubaque,11.2833,-15.8333,78.98,66,57,11.95,GW,2021-02-20 21:44:44
525,525,Palmas,-10.2128,-48.3603,77.0,94,75,2.3,BR,2021-02-20 21:49:23
527,527,Gladstone,-23.85,151.25,77.0,78,4,7.78,AU,2021-02-20 21:49:23
533,533,Santa Maria Del Oro,25.9333,-105.3667,82.2,12,0,12.84,MX,2021-02-20 21:49:24
540,540,Nsanje,-16.92,35.262,79.18,75,100,1.5,MW,2021-02-20 21:49:26
546,546,Maragogi,-9.0122,-35.2225,78.85,79,100,10.25,BR,2021-02-20 21:49:27
547,547,La Asuncion,11.0333,-63.8628,76.35,78,95,14.97,VE,2021-02-20 21:44:33
551,551,Teahupoo,-17.8333,-149.2667,80.6,74,75,6.91,PF,2021-02-20 21:49:28
578,578,Jacareacanga,-6.2222,-57.7528,75.16,95,100,3.18,BR,2021-02-20 21:49:33
580,580,Port Blair,11.6667,92.75,77.74,77,24,11.61,IN,2021-02-20 21:49:33
586,586,Pomerode,-26.7406,-49.1769,80.6,74,0,9.22,BR,2021-02-20 21:49:34
601,601,Takoradi,4.8845,-1.7554,80.73,82,57,9.73,GH,2021-02-20 21:45:27
602,602,San Carlos,9.6612,-68.5827,88.93,38,98,7.16,VE,2021-02-20 21:49:37
603,603,Itaituba,-4.2761,-55.9836,77.27,95,100,1.99,BR,2021-02-20 21:49:37
605,605,Kayes,14.0,-11.0,87.89,19,97,6.31,ML,2021-02-20 21:49:37
607,607,Manado,1.4869999999999999,124.8455,77.0,94,40,2.3,ID,2021-02-20 21:49:38
617,617,Gizo,-8.103,156.8419,84.72,69,86,3.89,SB,2021-02-20 21:49:40
618,618,Caravelas,-17.7125,-39.2481,78.28,85,100,6.8,BR,2021-02-20 21:49:40
624,624,La Libertad,-2.2333,-80.9,80.6,74,0,9.22,EC,2021-02-20 21:46:09
625,625,Tucurui,-3.7661,-49.6725,79.54,78,95,2.66,BR,2021-02-20 21:49:41
626,626,Honiara,-9.4333,159.95,82.22,76,89,1.7,SB,2021-02-20 21:49:41
