City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
133,Huilong,31.81,121.66,64.0,83,100,1.01,CN,2020-10-04 15:27:20
134,Mount Gambier,-37.83,140.77,44.6,100,90,11.41,AU,2020-10-04 15:27:20
135,Hamilton,39.18,-84.53,63.0,67,40,5.82,US,2020-10-04 15:27:21
136,Bria,6.54,21.99,80.89,84,92,1.16,CF,2020-10-04 15:27:21
137,Ormara,25.21,64.64,82.6,76,0,0.76,PK,2020-10-04 15:27:21
138,Cabo San Lucas,22.89,-109.91,86.0,55,5,4.76,MX,2020-10-04 15:27:21
139,Ballina,-28.87,153.57,62.6,88,1,4.7,AU,2020-10-04 15:27:21
140,Tomohon,1.33,124.84,75.2,94,20,1.12,ID,2020-10-04 15:27:21
141,Okhotsk,59.38,143.3,41.81,78,89,3.02,RU,2020-10-04 15:27:21
142,Miravci,41.31,22.43,79.0,99,98,10.54,MK,2020-10-04 15:27:22
143,Birjand,32.87,59.22,71.6,13,0,13.87,IR,2020-10-04 15:27:22
144,Saint Anthony,45.02,-93.22,48.0,70,1,4.7,US,2020-10-04 15:26:43
145,Saskylakh,71.92,114.08,21.04,96,100,10.45,RU,2020-10-04 15:27:22
146,Prieska,-29.66,22.75,81.88,13,0,7.14,ZA,2020-10-04 15:27:22
147,Sinegorye,62.08,150.48,30.63,86,81,0.49,RU,2020-10-04 15:27:22
148,Sarangani,5.4,125.46,84.72,75,58,11.52,PH,2020-10-04 15:27:22
149,Sao Joao Da Barra,-21.64,-41.05,80.6,74,75,13.87,BR,2020-10-04 15:27:22
150,Chuy,-33.7,-53.46,59.83,64,58,17.78,UY,2020-10-04 15:27:22
151,Pecos,31.42,-103.49,62.6,42,1,3.36,US,2020-10-04 15:27:23
152,Saint-Philippe,-21.36,55.77,73.4,78,90,13.87,RE,2020-10-04 15:27:23
153,Yellowknife,62.46,-114.35,41.0,100,90,8.05,CA,2020-10-04 15:27:23
154,Santa Lucia,27.91,-15.54,77.0,65,40,25.28,ES,2020-10-04 15:27:23
155,Surovikino,48.61,42.85,62.38,29,100,8.1,RU,2020-10-04 15:27:23
156,Burriana,39.89,-0.09,75.0,30,53,5.01,ES,2020-10-04 15:27:23
157,Poum,-20.23,164.02,72.05,74,1,10.51,NC,2020-10-04 15:27:23
158,San Quintin,30.48,-115.95,80.2,35,0,1.88,MX,2020-10-04 15:27:24
159,Taitung,22.76,121.14,79.92,76,87,9.91,TW,2020-10-04 15:23:21
160,Hailar,49.2,119.7,39.02,74,99,9.62,CN,2020-10-04 15:27:24
161,San Andres,12.58,-81.7,87.8,70,40,5.82,CO,2020-10-04 15:23:21
162,Waling,27.98,83.77,70.79,87,5,2.71,NP,2020-10-04 15:27:24
163,Gat,31.61,34.76,81.0,41,0,1.01,IL,2020-10-04 15:27:24
164,Batagay-Alyta,67.8,130.41,25.18,88,66,4.5,RU,2020-10-04 15:27:24
165,Pareora,-44.49,171.21,46.0,93,49,7.23,NZ,2020-10-04 15:27:24
166,Berlevag,70.86,29.09,44.6,87,0,12.75,NO,2020-10-04 15:27:24
167,Carnarvon,-24.87,113.63,64.4,68,0,17.22,AU,2020-10-04 15:27:25
168,Sibu,2.3,111.82,75.2,100,40,3.36,MY,2020-10-04 15:27:25
169,Ancud,-41.87,-73.82,51.8,62,20,5.82,CL,2020-10-04 15:27:25
170,Santa Maria,-29.68,-53.81,62.4,82,100,14.29,BR,2020-10-04 15:27:25
171,Napierville,45.19,-73.4,55.0,77,42,3.0,CA,2020-10-04 15:27:25
172,Pevek,69.7,170.31,32.13,92,89,12.19,RU,2020-10-04 15:27:25
173,Stornoway,58.21,-6.39,54.0,100,75,17.22,GB,2020-10-04 15:27:25
174,Villanueva,15.32,-88.0,82.0,61,75,10.29,HN,2020-10-04 15:27:26
175,Puerto Leguizamo,-0.19,-74.78,78.89,78,94,3.78,CO,2020-10-04 15:27:26
176,Grand Gaube,-20.01,57.66,75.99,73,25,5.57,MU,2020-10-04 15:27:26
177,Tabora,-5.02,32.8,93.2,17,0,5.82,TZ,2020-10-04 15:27:26
178,Yevlax,40.61,47.15,68.0,68,90,5.82,AZ,2020-10-04 15:27:26
179,Gbadolite,4.28,21.02,84.31,72,94,3.42,CD,2020-10-04 15:27:26
180,Guerrero Negro,27.98,-114.06,78.8,51,0,8.59,MX,2020-10-04 15:27:26
181,Jumla,29.27,82.18,54.86,65,11,3.06,NP,2020-10-04 15:27:26
182,Tiarei,-17.53,-149.33,73.4,73,20,4.7,PF,2020-10-04 15:27:27
183,Lata,40.16,-8.33,64.0,63,100,5.99,PT,2020-10-04 15:27:27
184,Bathsheba,13.22,-59.52,87.8,66,40,14.99,BB,2020-10-04 15:27:27
185,Saint-Joseph,-21.37,55.62,73.4,78,90,13.87,RE,2020-10-04 15:27:27
186,Victoria,22.29,114.16,82.99,81,14,2.71,HK,2020-10-04 15:25:03
187,Yerbogachen,61.28,108.01,37.67,90,100,8.03,RU,2020-10-04 15:27:27
188,Novoagansk,61.94,76.66,30.99,96,100,14.81,RU,2020-10-04 15:27:27
189,Odweyne,9.41,45.06,82.26,21,0,4.76,SO,2020-10-04 15:27:28
190,New Norfolk,-42.78,147.06,46.0,90,100,2.84,AU,2020-10-04 15:27:28
191,Tias,28.96,-13.64,78.8,50,20,18.34,ES,2020-10-04 15:27:28
192,Morgaushi,55.96,46.77,42.8,52,0,6.71,RU,2020-10-04 15:27:28
193,Adjumani,3.38,31.79,80.49,70,36,2.57,UG,2020-10-04 15:27:28
194,Maldonado,-34.67,-54.92,64.4,48,40,23.04,UY,2020-10-04 15:27:28
195,Batemans Bay,-35.72,150.18,62.01,88,72,6.13,AU,2020-10-04 15:27:28
196,Lebu,-37.62,-73.65,51.78,68,0,4.61,CL,2020-10-04 15:27:28
